Brain,ROI,Green,Red,Green_Red_Ratio,Reporter,Driver,Marker,Condition,InjuryType
Stat92E_GFP_1week_paraquat_48hours_m5,AL_right,0.8338334560394287,0.6342772841453552,1.314619767855886,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m5,CX,0.8317651152610779,0.908832311630249,0.9152019625810516,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m5,MB_left,0.8264204263687134,0.9066812992095948,0.9114784071196248,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m5,MB_right,0.8332005739212036,0.6362533569335938,1.3095421263265183,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m5,PI,0.8310542106628418,0.6349711418151855,1.3088062684031838,unknown,unknown,unknown,unknown,unknown
Stat92E_GFP_1week_paraquat_48hours_m5,SEG,0.8335212469100952,0.9082744121551514,0.9176975986060402,unknown,unknown,unknown,unknown,unknown
Draper_Dee7_48hours_moderate_single_m2,AL_left,0.8878450989723206,0.8262836933135986,1.0745039580919789,unknown,unknown,draper,moderate,single
Draper_Dee7_48hours_moderate_single_m2,AL_right,0.8405751585960388,0.9139522314071656,0.9197145427413074,unknown,unknown,draper,moderate,single
Draper_Dee7_48hours_moderate_single_m2,CX,0.8886386752128601,0.999880313873291,0.8887450456650076,unknown,unknown,draper,moderate,single
Draper_Dee7_48hours_moderate_single_m2,MB_left,0.8878315091133118,0.8263022899627686,1.074463328854281,unknown,unknown,draper,moderate,single
Draper_Dee7_48hours_moderate_single_m2,MB_right,0.8842365741729736,0.995771825313568,0.8879911559001259,unknown,unknown,draper,moderate,single
Draper_Dee7_48hours_moderate_single_m2,PI,0.8864342570304871,0.9118886590003968,0.9720860636672326,unknown,unknown,draper,moderate,single
Draper_Dee7_48hours_moderate_single_m2,SEG,0.9998677372932434,0.8262650966644287,1.2101052571742843,unknown,unknown,draper,moderate,single
Stat92E_GFP_24hour_moderate_single_m5,AL_left,0.7410851120948792,0.907447099685669,0.816670318690295,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m5,AL_right,0.2971252501010895,0.9236921668052672,0.3216712891793196,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m5,CX,0.7394587993621826,0.9211877584457396,0.8027232153082705,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m5,MB_left,0.5185540318489075,0.8002669811248779,0.6479762930116313,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m5,MB_right,0.7375162839889526,0.7389567494392395,0.9980506769152864,unknown,unknown,unknown,moderate,single
Stat92E_GFP_24hour_moderate_single_m5,PI,0.713618814945221,0.6128391027450562,1.1644472615222297,unknown,unknown,unknown,moderate,single
